Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
01-01-2021,20159,10306393,23838,9905403,237,148664
02-01-2021,18144,10324537,20903,9926306,216,148880
03-01-2021,16678,10341215,19658,9945964,215,149095
04-01-2021,16278,10357493,29209,9975173,200,149295
05-01-2021,17909,10375402,21161,9996334,265,149560
06-01-2021,20472,10395874,19689,10016023,222,149782
07-01-2021,18123,10413997,20503,10036526,233,150015
08-01-2021,18453,10432450,19242,10055768,229,150244
09-01-2021,18820,10451270,19460,10075228,213,150457
10-01-2021,16086,10467356,16737,10091965,150,150607
11-01-2021,12481,10479837,18578,10110543,166,150773
12-01-2021,15903,10495740,17762,10128305,200,150973
13-01-2021,17015,10512755,17797,10146102,201,151174
14-01-2021,15677,10528432,15943,10162045,189,151363
15-01-2021,15155,10543587,16809,10178854,176,151539
16-01-2021,15050,10558637,17202,10196056,181,151720
17-01-2021,13962,10572599,14513,10210569,145,151865
18-01-2021,9987,10582586,17127,10227696,137,152002
19-01-2021,13787,10596373,17229,10244925,162,152164
20-01-2021,15279,10611652,20071,10264996,152,152316
21-01-2021,14495,10626147,17734,10282730,161,152477
22-01-2021,14323,10640470,17166,10299896,153,152630
23-01-2021,14896,10655366,16033,10315929,156,152786
24-01-2021,13232,10668598,13148,10329077,131,152917
25-01-2021,9098,10677696,16092,10345169,116,153033
26-01-2021,12733,10690429,13250,10358419,138,153171
27-01-2021,11556,10701985,14261,10372680,123,153294
28-01-2021,18912,10720897,20315,10392995,162,153456
29-01-2021,13054,10733951,14886,10407881,137,153593
30-01-2021,13073,10747024,14077,10421958,128,153721
31-01-2021,11527,10758551,11882,10433840,116,153837
01-02-2021,8579,10767130,13443,10447283,94,153931
02-02-2021,11001,10778131,14250,10461533,113,154044
03-02-2021,12925,10791056,17813,10479346,107,154151
04-02-2021,12401,10803457,15788,10495134,120,154271
05-02-2021,11711,10815168,14512,10509646,95,154366
06-02-2021,12069,10827237,11761,10521407,75,154441
07-02-2021,11786,10839023,11756,10533163,86,154527
08-02-2021,8715,10847738,13600,10546763,78,154605
09-02-2021,10731,10858469,12928,10559691,94,154699
10-02-2021,12539,10871008,11796,10571487,110,154809
11-02-2021,9353,10880361,15722,10587209,85,154894
12-02-2021,12137,10892498,11358,10598567,104,154998
13-02-2021,12198,10904696,11107,10609674,89,155087
14-02-2021,11706,10916402,9500,10619174,91,155178
15-02-2021,9086,10925488,11793,10630967,82,155260
16-02-2021,11592,10937080,11836,10642803,99,155359
17-02-2021,12862,10949942,12028,10654831,100,155459
18-02-2021,13237,10963179,10914,10665745,100,155559
19-02-2021,13916,10977095,10214,10675959,100,155659
20-02-2021,13919,10991014,11413,10687372,89,155748
21-02-2021,14278,11005292,9715,10697087,83,155831
22-02-2021,10494,11015786,13233,10710320,76,155907
23-02-2021,13682,11029468,13969,10724289,103,156010
24-02-2021,16930,11046398,12100,10736389,141,156151
25-02-2021,16599,11062997,12222,10748611,119,156270
26-02-2021,16562,11079559,12790,10761401,114,156384
